,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
136,control,15,averse,7,2024-05-31,0.152021518750181,0.08475343678701343,1.4549366813115208
137,control,15,averse,7,2024-06-30,0.1732436313170742,0.08254905670017369,1.5425380920279803
138,control,15,averse,7,2024-07-31,0.17611603801559417,0.08263450208400915,1.4173475722199067
139,control,15,averse,7,2024-08-31,0.19294482785949918,0.083437733355519,1.4371936788811823
140,control,15,averse,7,2024-09-30,0.22869537595246192,0.08720916354176152,1.534195843887423
141,control,15,averse,7,2024-10-31,0.20416833389646083,0.08744286731388438,1.2078225835451841
142,control,15,averse,7,2024-11-30,0.2634425398623734,0.08718581492645176,1.5623467891537752
143,control,15,averse,7,2024-12-31,0.2352907054165847,0.08633978960669038,1.2375271005655717
144,control,15,averse,8,2023-07-31,0.014886082851231164,0.08161146031145772,1.5161342012668306
145,control,15,averse,8,2023-08-31,0.00047923950680806016,0.08843185998275159,-0.4478584456774476
146,control,15,averse,8,2023-09-30,-0.0352563449384079,0.08262702169499861,-2.131483557324869
147,control,15,averse,8,2023-10-31,-0.04252273546480989,0.08211103630068385,-1.9528351653504694
148,control,15,averse,8,2023-11-30,0.028148362239734492,0.10545539270380308,0.24120776110695213
149,control,15,averse,8,2023-12-31,0.05867843778727999,0.09977607425018663,0.7386431166994754
150,control,15,averse,8,2024-01-31,0.07565848065129654,0.09563618509189457,0.9176481547637468
151,control,15,averse,8,2024-02-29,0.10249820643327134,0.09186247004875628,1.2369853410448701
152,control,15,averse,8,2024-03-31,0.12079489006411359,0.08843808887176033,1.3277682303552323
153,control,15,averse,8,2024-04-30,0.07241841838971541,0.091744486911075,0.47698791314081546
154,control,15,averse,8,2024-05-31,0.11296245575512454,0.08865574526090568,0.9086388162284367
155,control,15,averse,8,2024-06-30,0.14407186178305809,0.08694089088196091,1.1363249804850049
156,control,15,averse,8,2024-07-31,0.15582931528452293,0.08536496046126242,1.1581124072140216
157,control,15,averse,8,2024-08-31,0.1790712074002665,0.08527006561604988,1.271060774660755
158,control,15,averse,8,2024-09-30,0.1983288288455829,0.08743324162193324,1.2676283210120873
159,control,15,averse,8,2024-10-31,0.17348352835774228,0.08717765456188471,0.9613984287667705
160,control,15,averse,8,2024-11-30,0.21016071472679276,0.08785353872016631,1.150376621764347
161,control,15,averse,8,2024-12-31,0.1839833224882279,0.08709789334813958,0.863414789247688
162,control,15,averse,9,2023-07-31,0.005702672446342039,0.07235568192798654,0.2563168319010616
