,cond,age,risk-taking,iteration,date,portfolio_cumulative_return,portfolio_std_dev,sharpe_ratio
209,control,15,neutral,1,2024-06-30,0.24060687405956327,0.14359380680624315,1.3454155977635311
210,control,15,neutral,1,2024-07-31,0.27670422961902763,0.14217796648496003,1.4577551831489741
211,control,15,neutral,1,2024-08-31,0.2932443189577303,0.14234170161564946,1.424176685528642
212,control,15,neutral,1,2024-09-30,0.3248598100071072,0.146541552712637,1.4039658996110718
213,control,15,neutral,1,2024-10-31,0.31851186361313166,0.1449140959296702,1.2810520816866722
214,control,15,neutral,1,2024-11-30,0.42427065277596654,0.14536552041383405,1.6492666147426844
215,control,15,neutral,1,2024-12-31,0.44458186696305324,0.14246465275917838,1.625360175698431
216,control,15,neutral,2,2023-07-31,0.013782736064317458,0.15438046867745583,0.7165184880847937
217,control,15,neutral,2,2023-08-31,0.006474793529027467,0.2193511548179148,-0.019985165288630764
218,control,15,neutral,2,2023-09-30,-0.05151008373639088,0.21448503836296862,-1.0864968278838225
219,control,15,neutral,2,2023-10-31,-0.08844133192967563,0.21066067325161333,-1.3153558155343072
220,control,15,neutral,2,2023-11-30,0.02314769895727098,0.22723452855159204,0.05809678410070946
221,control,15,neutral,2,2023-12-31,0.06456263506569626,0.2118369363373988,0.4044459109572803
222,control,15,neutral,2,2024-01-31,0.009618020565169916,0.203712924604682,-0.12856871417715524
223,control,15,neutral,2,2024-02-29,0.08617500984225734,0.19602357670668188,0.45043306743991696
224,control,15,neutral,2,2024-03-31,0.06429000402211238,0.19724601764444663,0.21290235843971353
225,control,15,neutral,2,2024-04-30,0.052157064191791,0.21161738640168615,0.09238989654536779
226,control,15,neutral,2,2024-05-31,0.08621402305927095,0.20828465127073717,0.24653030482135374
227,control,15,neutral,2,2024-06-30,0.17583859617488007,0.20315125505976575,0.6392938658665461
228,control,15,neutral,2,2024-07-31,0.2197030381413041,0.21634252229919318,0.7222837870371442
229,control,15,neutral,2,2024-08-31,0.19657135680015192,0.21900805083544908,0.5612923487789176
230,control,15,neutral,2,2024-09-30,0.2814636039853924,0.22129376499123954,0.7836439390448308
231,control,15,neutral,2,2024-10-31,0.26622627100013174,0.2204289718407486,0.6772246212192456
232,control,15,neutral,2,2024-11-30,0.4495007532150739,0.22828982511250817,1.1199124250699537
233,control,15,neutral,2,2024-12-31,0.5303703046098154,0.2291068670405567,1.2258983037645437
234,control,15,neutral,3,2023-07-31,-0.010451073518739085,0.15032331067202656,-0.9704587246426507
235,control,15,neutral,3,2023-08-31,-0.04974222093287539,0.227183496562907,-1.3103586464321673
236,control,15,neutral,3,2023-09-30,-0.07283552477452837,0.21237874980502167,-1.4286105115334549
237,control,15,neutral,3,2023-10-31,-0.1264096150102595,0.20234918660652823,-1.8067834628897177
238,control,15,neutral,3,2023-11-30,-0.01719481378058796,0.2111258082426305,-0.3909700610253677
239,control,15,neutral,3,2023-12-31,0.0376477502384005,0.19986538551357663,0.15706724970463168
240,control,15,neutral,3,2024-01-31,-0.03839896500251139,0.20113213930934135,-0.5267531698915078
241,control,15,neutral,3,2024-02-29,0.07596946323809206,0.20323414146520272,0.3569670033012365
